"name","valueType","entityType","mimeType","unit","occurrenceGroup","repeatable","categories:en","label:en"
"child_id","integer","Participant","","numeric","","false","","child id"
"mother_id","integer","Participant","","numeric","","false","","Mother identifier"
"preg_no","integer","Participant","","numeric","","false","","Pregnancy number"
"child_no","integer","Participant","","numeric","","false","","Child number"
"cohort_id","integer","Participant","","numeric","","false","101=Gen R;102=INMA;103=NINFEA;104=SWS;105=ALSPAC;106=DNBC;107=BIB;108=GECKO;109=RHEA;110=MOBA;111=ELFE;112=EDEN;113=NFBC66;114=NFBC86;115=HBCS;116=CHOP;117=RAINE;118=RUG","cohort id"
"coh_country","integer","Participant","","numeric","","false","36=Australia;208=Denmark;246=Finland;250=France;276=Germany;300=Greece;380=Italy;528=Netherlands;578=Norway;724=Spain;826=UnitedKingdom","country of cohort"
"recruit_age","decimal","Participant","","numeric","","false","","Recruitment age"
"agebirth_m_y","decimal","Participant","","years","","false","","maternal age at birth (years)"
"preg_dia","integer","Participant","","numeric","","false","0=no ;1=yes ","gestational diabetes"
"preg_smk","integer","Participant","","numeric","","false","0=no;1=yes","smoked pregnancy"
"parity_m","integer","Participant","","numeric","","false","0=0;1=1;2=2;3=3;4==>4","Maternal parity"
"sex","integer","Participant","","numeric","","false","1=male;2=female","sex of the child"
